time,o,h,l,c,volume,complete
2020-11-19 08:00:00,1.18446,1.18464,1.18444,1.1846,70,True
2020-11-19 08:00:30,1.18461,1.18478,1.18452,1.18464,97,True
2020-11-19 08:01:00,1.18465,1.18484,1.18458,1.1848,93,True
2020-11-19 08:01:30,1.18478,1.185,1.18476,1.18499,65,True
2020-11-19 08:02:00,1.18498,1.18498,1.18474,1.1848,71,True
2020-11-19 08:02:30,1.18478,1.1848,1.18472,1.18478,42,True
2020-11-19 08:03:00,1.18476,1.18491,1.18468,1.1849,52,True
2020-11-19 08:03:30,1.18488,1.18496,1.18483,1.18491,39,True
2020-11-19 08:04:00,1.18492,1.18493,1.18478,1.18478,50,True
2020-11-19 08:04:30,1.1848,1.18481,1.18474,1.18476,64,True
2020-11-19 08:05:00,1.18478,1.18485,1.18471,1.18472,72,True
2020-11-19 08:05:30,1.18473,1.18478,1.1846,1.18462,84,True
2020-11-19 08:06:00,1.18463,1.18463,1.1844,1.1844,48,True
2020-11-19 08:06:30,1.18439,1.18441,1.18418,1.18422,102,True
2020-11-19 08:07:00,1.18424,1.18428,1.18414,1.1842,84,True
2020-11-19 08:07:30,1.1842,1.18425,1.18406,1.1842,78,True
2020-11-19 08:08:00,1.18419,1.18426,1.18392,1.18394,134,True
2020-11-19 08:08:30,1.18394,1.18414,1.18392,1.18411,93,True
2020-11-19 08:09:00,1.18412,1.1843,1.18412,1.1843,95,True
2020-11-19 08:09:30,1.18428,1.1844,1.18426,1.18432,61,True
2020-11-19 08:10:00,1.18431,1.18439,1.18423,1.18434,64,True
2020-11-19 08:10:30,1.18432,1.18438,1.18425,1.18436,59,True
2020-11-19 08:11:00,1.18437,1.18444,1.18437,1.18442,59,True
2020-11-19 08:11:30,1.18444,1.18447,1.18434,1.18436,57,True
2020-11-19 08:12:00,1.18434,1.18435,1.18425,1.18432,47,True
2020-11-19 08:12:30,1.18434,1.18444,1.18426,1.18428,81,True
2020-11-19 08:13:00,1.18428,1.1844,1.18428,1.18439,45,True
2020-11-19 08:13:30,1.18438,1.18439,1.1841,1.18413,48,True
2020-11-19 08:14:00,1.18412,1.18422,1.18404,1.18414,80,True
2020-11-19 08:14:30,1.18414,1.18426,1.18411,1.18423,75,True
2020-11-19 08:15:00,1.18422,1.18424,1.18408,1.1842,72,True
2020-11-19 08:15:30,1.18418,1.18426,1.18415,1.18423,64,True
2020-11-19 08:16:00,1.18424,1.1843,1.18409,1.18409,43,True
2020-11-19 08:16:30,1.1841,1.1841,1.18396,1.18396,70,True
2020-11-19 08:17:00,1.18397,1.1841,1.18388,1.18389,73,True
2020-11-19 08:17:30,1.18388,1.1839,1.18372,1.18372,79,True
2020-11-19 08:18:00,1.18374,1.1838,1.1836,1.18371,101,True
2020-11-19 08:18:30,1.18372,1.18377,1.18365,1.1837,63,True
2020-11-19 08:19:00,1.18371,1.18382,1.1837,1.1838,78,True
2020-11-19 08:19:30,1.18378,1.18388,1.18372,1.18383,77,True
2020-11-19 08:20:00,1.18384,1.18402,1.1838,1.18394,82,True
2020-11-19 08:20:30,1.18396,1.18401,1.18394,1.184,31,True
2020-11-19 08:21:00,1.18399,1.184,1.18384,1.1839,45,True
2020-11-19 08:21:30,1.18391,1.18397,1.18386,1.18388,68,True
2020-11-19 08:22:00,1.18389,1.18399,1.18387,1.1839,45,True
2020-11-19 08:22:30,1.18392,1.18402,1.18366,1.18368,74,True
2020-11-19 08:23:00,1.18368,1.18372,1.1836,1.18368,82,True
2020-11-19 08:23:30,1.18368,1.18371,1.18365,1.18368,39,True
2020-11-19 08:24:00,1.18369,1.1837,1.18359,1.18362,72,True
2020-11-19 08:24:30,1.18362,1.18364,1.18358,1.1836,59,True
2020-11-19 08:25:00,1.1836,1.18368,1.18356,1.18364,53,True
2020-11-19 08:25:30,1.18365,1.18365,1.18356,1.18359,53,True
2020-11-19 08:26:00,1.1836,1.18368,1.18352,1.18354,49,True
2020-11-19 08:26:30,1.18353,1.18364,1.18348,1.1836,59,True
2020-11-19 08:27:00,1.18362,1.18364,1.18356,1.18359,44,True
2020-11-19 08:27:30,1.18361,1.18369,1.18361,1.18364,49,True
2020-11-19 08:28:00,1.18366,1.18368,1.18347,1.18354,48,True
